Abasto
Abelho
Abranches
Abrantes
Almeida
Alpuim
Alvarenga
Álvares
Álvaro
Alvelos
Alves
Alvim
Amado
Amaral
Arruda
Assis
Assunção
Ataíde
Atilano
Aveiro
Avelar
Ávila
Azambuja
Azenha
Azeredo
Azevedo
Bacelar
Baía
Camargo
Camarinho
Cambezes
Camelo
Camilo
Caminha
Campelo
Campos
Canadas
Canário
Cancela
Candal
Candeias
Canedo
Caneira
Canejo
Canela
Cangueiro
Canhão
Caniça
Cantanhede
Canto
